,Unnamed: 0,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names,year,month
144,103773,NOCO-IN25,0.12,AZIPM,2019-06-27,UG/L,<,0.12,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
145,103774,NOCO-IN25,0.179,BA,2019-06-27,MG/L,,0.1,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
146,103775,NOCO-IN25,0.03,CD,2019-06-27,UG/L,<,0.03,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
147,103776,NOCO-IN25,5.53,CL,2019-06-27,MG/L,,0.02,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
148,103777,NOCO-IN25,0.12,DBCME,2019-06-27,UG/L,<,0.12,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
149,103778,NOCO-IN25,0.1,DCP13,2019-06-27,UG/L,<,0.1,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
150,103779,NOCO-IN25,0.1,F,2019-06-27,MG/L,,0.01,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
151,103780,NOCO-IN25,70.5,FE,2019-06-27,UG/L,,10.0,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
152,103781,NOCO-IN25,0.03,FENPHOS,2019-06-27,UG/L,<,0.03,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
153,103782,NOCO-IN25,0.008,FONOFOS,2019-06-27,UG/L,<,0.008,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
154,103783,NOCO-IN25,0.012,HEXAZINONE,2019-06-27,UG/L,<,0.012,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
155,103784,NOCO-IN25,1.15,K,2019-06-27,MG/L,,0.3,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
156,103785,NOCO-IN25,20.2,MN,2019-06-27,UG/L,,0.4,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
157,103786,NOCO-IN25,0.016,MOLINATE,2019-06-27,UG/L,<,0.016,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
158,103787,NOCO-IN25,0.036000000000000004,PBZN,2019-06-27,UG/L,<,0.036000000000000004,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
159,103788,NOCO-IN25,361.0,SC,2019-06-27,UMHOS/CM,,,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
160,103789,NOCO-IN25,0.03,TCA111,2019-06-27,UG/L,<,0.03,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
161,103790,NOCO-IN25,257.0,TDS,2019-06-27,MG/L,,20.0,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
162,103791,NOCO-IN25,0.07200000000000001,TEBUTHIURON,2019-06-27,UG/L,<,0.07200000000000001,38.76258333,-122.60747222,MUNICIPAL,,,,USGS,NOCO-IN25,NOCO-IN25,2019,6
163,103940,NOCO-CO18,1.0,AG,2019-07-16,UG/L,<,1.0,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
164,103941,NOCO-CO18,84.87,C-14,2019-07-16,PCT MODERN,,,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
165,103942,NOCO-CO18,0.1,CDS,2019-07-16,UG/L,<,0.1,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
166,103943,NOCO-CO18,0.02,DBCP,2019-07-16,UG/L,<,0.02,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
167,103944,NOCO-CO18,0.028,DCBZ12,2019-07-16,UG/L,<,0.028,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
168,103945,NOCO-CO18,0.1,DCP13,2019-07-16,UG/L,<,0.1,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
169,103946,NOCO-CO18,0.008,DIAZ,2019-07-16,UG/L,<,0.008,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
170,103947,NOCO-CO18,0.014,DIMETHAT,2019-07-16,UG/L,<,0.014,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
171,103948,NOCO-CO18,0.21,F,2019-07-16,MG/L,,0.01,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
172,103949,NOCO-CO18,0.04,MTBE,2019-07-16,UG/L,,0.012,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
173,103950,NOCO-CO18,0.016,OXYFLUOREN,2019-07-16,UG/L,<,0.016,40.60411111,-124.1785,MUNICIPAL,,,,USGS,NOCO-CO18,NOCO-CO18,2019,7
