,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names,year,month
68,ED 450,1.0,TCE,2003-04-24,UG/L,<,,38.72948785,-120.71447409999999,DOMESTIC,,,,GAMA,ED 450,VERDE ROBLES,2003,4
162,ED 659,1.0,TCE,2004-05-24,UG/L,<,,38.690327328,-120.658373923,DOMESTIC,,,,GAMA,ED 659,ALAMEDA ROAD,2004,5
177,ED 699,1.0,TCE,2004-06-16,UG/L,<,,38.5007394,-121.1365659,DOMESTIC,,,,GAMA,ED 699,Bisbee Drive,2004,6
193,ED 326,1.0,TCE,2003-02-14,UG/L,<,,38.69747528,-120.7752145,DOMESTIC,,,,GAMA,ED 326,WASHBOARD LANE,2003,2
239,ED 463,1.0,TCE,2003-05-08,UG/L,<,,38.80589972,-120.93293229999999,DOMESTIC,,,,GAMA,ED 463,GODS WAY,2003,5
354,ED 664,1.0,TCE,2004-05-26,UG/L,<,,38.802311441,-120.91452017,DOMESTIC,,,,GAMA,ED 664,AMOLOC LANE,2004,5
374,ED 697,1.0,TCE,2004-05-11,UG/L,<,,39.0009833,-121.26335556,DOMESTIC,,,,GAMA,ED 697,Thermalands Road,2004,5
527,ED 653,1.0,TCE,2004-06-01,UG/L,<,,38.815952226,-120.99881286,DOMESTIC,,,,GAMA,ED 653,QUAIL HOLLOW ROAD,2004,6
609,ED 388,1.0,TCE,2003-03-25,UG/L,<,,38.711574,-120.89409099999999,DOMESTIC,,,,GAMA,ED 388,GREEN VALLEY ROAD,2003,3
627,ED 420,1.0,TCE,2003-04-03,UG/L,<,,38.71734954,-120.9768153,DOMESTIC,,,,GAMA,ED 420,PINE HILL ROAD,2003,4
663,ED 495,1.0,TCE,2004-04-20,UG/L,<,,38.655014235,-120.865277303,DOMESTIC,,,,GAMA,ED 495,CHINA HILL ROAD,2004,4
763,ED 367,1.0,TCE,2003-03-12,UG/L,<,,38.6053412,-120.9667225,DOMESTIC,,,,GAMA,ED 367,BULLARD DRIVE,2003,3
863,ED 611,1.0,TCE,2004-05-05,UG/L,<,,38.783848182,-120.96322428799999,DOMESTIC,,,,GAMA,ED 611,PAW PRINT PATH,2004,5
902,ED 696,1.0,TCE,2004-05-18,UG/L,<,,38.544174100000006,-120.7185247,DOMESTIC,,,,GAMA,ED 696,Bridgeport School Road,2004,5
1005,ED 467,1.0,TCE,2003-05-13,UG/L,<,,38.70775987,-121.0081713,DOMESTIC,,,,GAMA,ED 467,VELVET LANE,2003,5
1113,ED 668,1.0,TCE,2004-05-26,UG/L,<,,38.802748333000004,-120.91548822,DOMESTIC,,,,GAMA,ED 668,AMOLOC LANE,2004,5
1165,ED 344,1.0,TCE,2003-02-26,UG/L,<,,38.736055900000004,-120.7243017,DOMESTIC,,,,GAMA,ED 344,STILL MEADOWS ROAD,2003,2
1206,ED 419,1.0,TCE,2003-04-03,UG/L,<,,38.7055312,-120.96801370000001,DOMESTIC,,,,GAMA,ED 419,SORNEY LOOP,2003,4
1320,ED 643,1.0,TCE,2004-05-21,UG/L,<,,38.605234533,-120.92795264700001,DOMESTIC,,,,GAMA,ED 643,FRENCH CREEK ROAD,2004,5
1438,ED 489,1.0,TCE,2003-05-28,UG/L,<,,38.80500134,-120.93803500000001,DOMESTIC,,,,GAMA,ED 489,GODS WAY,2003,5
1786,ED 313,1.0,TCE,2003-02-14,UG/L,<,,38.6800155,-120.7196973,DOMESTIC,,,,GAMA,ED 313,SPRINGER ROAD,2003,2
1820,ED 310,1.0,TCE,2003-02-04,UG/L,<,,38.67487996,-120.7699012,DOMESTIC,,,,GAMA,ED 310,OAK HILL ROAD,2003,2
1864,ED 350,1.0,TCE,2003-03-07,UG/L,<,,38.59875917,-120.95170320000001,DOMESTIC,,,,GAMA,ED 350,SHADOW HAWK DRIVE,2003,3
1979,ED 671,1.0,TCE,2004-06-01,UG/L,<,,38.850990142,-121.028484237,DOMESTIC,,,,GAMA,ED 671,OAK VIEW COURT,2004,6
2016,ED 490,1.0,TCE,2004-04-14,UG/L,<,,38.570435703,-120.84549445799999,DOMESTIC,,,,GAMA,ED 490,HIGHWAY 49,2004,4
2220,ED 336,1.0,TCE,2003-02-21,UG/L,<,,38.70071394,-120.7626603,DOMESTIC,,,,GAMA,ED 336,CEDAR OAK ROAD,2003,2
