,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names
124,ED 447,570.0,AL,2003-04-23,UG/L,=,,38.79051191,-120.88060390000001,DOMESTIC,,,,GAMA,ED 447,JOHNSON RANCH ROAD
179,ED 326,1.0,AG,2003-02-14,UG/L,<,,38.69747528,-120.7752145,DOMESTIC,,,,GAMA,ED 326,WASHBOARD LANE
202,ED 361,1.0,AG,2003-03-06,UG/L,<,,38.57861859,-120.9786123,DOMESTIC,,,,GAMA,ED 361,SWIFT ROAD
261,ED 514,1.0,AL,2004-04-13,UG/L,<,,38.62393732,-120.74659825100001,DOMESTIC,,,,GAMA,ED 514,ELDERBERRY
271,ED 519,1.0,AL,2004-04-12,UG/L,<,,38.676229038,-120.815114633,DOMESTIC,,,,GAMA,ED 519,FOWLER LANE
339,ED 647,1.0,AL,2004-05-14,UG/L,<,,38.817687234,-121.016555133,DOMESTIC,,,,GAMA,ED 647,VIENNA DRIVE
363,ED 697,1.0,AG,2004-05-11,UG/L,<,,39.0009833,-121.26335556,DOMESTIC,,,,GAMA,ED 697,Thermalands Road
403,ED 325,1.0,AL,2003-02-11,UG/L,<,,38.72081051,-120.78442959999998,DOMESTIC,,,,GAMA,ED 325,NICKS LANE
428,ED 403,1.0,AG,2003-03-18,UG/L,<,,38.81236215,-120.901126,DOMESTIC,,,,GAMA,ED 403,LITTLE COURT
473,ED 507,1.0,AG,2004-04-22,UG/L,<,,38.878780922,-120.97974012600001,DOMESTIC,,,,GAMA,ED 507,URBAN RETREAT
520,ED 653,91.0,AL,2004-06-01,UG/L,=,,38.815952226,-120.99881286,DOMESTIC,,,,GAMA,ED 653,QUAIL HOLLOW ROAD
571,ED 363,1.0,AG,2003-03-06,UG/L,<,,38.53229756,-120.95828970000001,DOMESTIC,,,,GAMA,ED 363,LATROBE ROAD
590,ED 372,1.0,AL,2003-03-18,UG/L,<,,38.70575943,-120.94935659999999,DOMESTIC,,,,GAMA,ED 372,ROLLING RANCH
637,ED 466,1.0,AG,2003-05-13,UG/L,<,,38.80615565,-120.94549920000001,DOMESTIC,,,,GAMA,ED 466,CLARK MOUNTAIN  ROAD
638,ED 466,1.0,AL,2003-05-13,UG/L,<,,38.80615565,-120.94549920000001,DOMESTIC,,,,GAMA,ED 466,CLARK MOUNTAIN  ROAD
644,ED 469,1.0,AL,2003-05-13,UG/L,<,,38.80552586,-120.95990800000001,DOMESTIC,,,,GAMA,ED 469,HALLELUJAH TRAIL
666,ED 511,1.0,ACE,2004-04-12,UG/L,<,,38.860651321,-121.021929629,DOMESTIC,,,,GAMA,ED 511,CATECROFT LANE
671,ED 523,1.0,AL,2004-04-20,UG/L,<,,38.651078645,-120.76441431299999,DOMESTIC,,,,GAMA,ED 523,NASHVILLE ROAD
678,ED 533,1.0,AG,2004-05-14,UG/L,<,,38.818631851,-121.017904021,DOMESTIC,,,,GAMA,ED 533,VIENNA DRIVE
726,ED 623,1.0,AL,2004-05-10,UG/L,<,,38.6944236,-120.9568886,DOMESTIC,,,,GAMA,ED 623,SIERRA VISTA ROAD
746,ED 327,1.0,AG,2003-02-19,UG/L,<,,38.73402255,-120.7334495,DOMESTIC,,,,GAMA,ED 327,LEANING TREE ROAD
